LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
68,2023-06-05T11:23:00+10:00,2023-06-05,11:23,3,1,4
5,2023-06-05T11:23:00+10:00,2023-06-05,11:23,9,12,21
8,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,3,3
14,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,0,2
61,2023-06-05T11:23:00+10:00,2023-06-05,11:23,3,4,7
65,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,6,10
70,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,0,2
108,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,6,10
2,2023-06-05T11:23:00+10:00,2023-06-05,11:23,6,9,15
10,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,2,2
12,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,6,6
19,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,0,1
48,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,1,3
53,2023-06-05T11:23:00+10:00,2023-06-05,11:23,16,5,21
56,2023-06-05T11:23:00+10:00,2023-06-05,11:23,8,2,10
63,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,3,7
3,2023-06-05T11:23:00+10:00,2023-06-05,11:23,6,15,21
21,2023-06-05T11:23:00+10:00,2023-06-05,11:23,3,2,5
26,2023-06-05T11:23:00+10:00,2023-06-05,11:23,8,4,12
29,2023-06-05T11:23:00+10:00,2023-06-05,11:23,6,3,9
36,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,1,2
40,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,0,2
42,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
50,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,3,4
54,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,3,7
55,2023-06-05T11:23:00+10:00,2023-06-05,11:23,3,7,10
17,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,6,10
18,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,1,2
20,2023-06-05T11:23:00+10:00,2023-06-05,11:23,6,1,7
27,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
49,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,1,2
57,2023-06-05T11:23:00+10:00,2023-06-05,11:23,5,4,9
72,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,6,8
79,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,4,8
86,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
14,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,4,7
21,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,6,12
29,2023-06-05T11:22:00+10:00,2023-06-05,11:22,8,2,10
44,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,2,3
45,2023-06-05T11:22:00+10:00,2023-06-05,11:22,11,3,14
50,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,4,5
55,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,11,17
66,2023-06-05T11:22:00+10:00,2023-06-05,11:22,35,5,40
69,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,0,2
75,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,0,2
78,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,2,3
87,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,2,3
108,2023-06-05T11:22:00+10:00,2023-06-05,11:22,7,2,9
1,2023-06-05T11:22:00+10:00,2023-06-05,11:22,21,7,28
2,2023-06-05T11:22:00+10:00,2023-06-05,11:22,5,6,11
11,2023-06-05T11:22:00+10:00,2023-06-05,11:22,0,1,1
20,2023-06-05T11:22:00+10:00,2023-06-05,11:22,8,1,9
23,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,6,12
51,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,0,3
56,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,2,6
63,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,5,6
72,2023-06-05T11:22:00+10:00,2023-06-05,11:22,0,3,3
79,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,8,10
85,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,0,1
